datetime,y,y (scaled),split,y_pred (scaled),y_pred,error,percentage,y_pred_2 (scale),y_pred_2
2018-02-28,274.0,0.35662299854439594,train,0.26462716,210.79886,63.201141357421875,23.06610998446054,0.2553668,204.437
2018-03-01,293.0,0.38427947598253276,train,0.37380487,285.80396,7.196044921875,2.455988027943686,0.376741,287.82104
2018-03-02,300.0,0.39446870451237265,train,0.37215224,284.66858,15.3314208984375,5.1104736328125,0.37452978,286.30197
2018-03-03,244.0,0.3129548762736536,train,0.39097533,297.60004,-53.60003662109375,-21.967228123399078,0.39226133,298.48352
2018-03-04,205.0,0.2561863173216885,train,0.31517524,245.52539,-40.525390625,-19.768483231707318,0.31009507,242.03531
2018-03-05,180.0,0.2197962154294032,train,0.2722251,216.01865,-36.018646240234375,-20.010359022352432,0.26515532,211.1617
2018-03-06,170.0,0.2052401746724891,train,0.25475684,204.01794,-34.0179443359375,-20.010555491727942,0.24374923,196.45572
2018-03-07,192.0,0.23726346433770013,train,0.24320483,196.08171,-4.0817108154296875,-2.125891049702962,0.23236401,188.63408
2018-03-08,262.0,0.339155749636099,train,0.25567698,204.65009,57.34991455078125,21.889280362893608,0.25153255,201.80286
2018-03-09,316.0,0.4177583697234352,train,0.33351567,258.12527,57.874725341796875,18.31478650056863,0.3363557,260.07635
2018-03-10,207.0,0.25909752547307136,train,0.38985354,296.82938,-89.82937622070312,-43.39583392304498,0.39624256,301.21863
2018-03-11,179.0,0.2183406113537118,train,0.25592497,204.82045,-25.820449829101562,-14.42483230676065,0.24734427,198.92552
2018-03-12,236.0,0.3013100436681223,train,0.24836442,199.62636,36.37364196777344,15.412560155836202,0.23725817,191.99635
2018-03-13,241.0,0.30858806404657935,train,0.30787694,240.51146,0.4885406494140625,0.20271396241247405,0.30437052,238.10255
2018-03-14,287.0,0.37554585152838427,train,0.30030423,235.309,51.69099426269531,18.010799394667355,0.29783458,233.61235
2018-03-15,314.0,0.4148471615720524,train,0.3688426,282.39487,31.605133056640625,10.065328998930136,0.36929533,282.7059
2018-03-16,269.0,0.3493449781659389,train,0.3877482,295.38303,-26.383026123046875,-9.807816402619657,0.3889529,296.21066
2018-03-17,218.0,0.2751091703056769,train,0.32510367,252.34622,-34.346221923828125,-15.75514767148079,0.32299343,250.89648
2018-03-18,177.0,0.21542940320232895,train,0.28914002,227.63919,-50.639190673828125,-28.60971224510064,0.28026548,221.54239
2018-03-19,177.0,0.21542940320232895,train,0.2490318,200.08485,-23.084854125976562,-13.042290466653425,0.23646553,191.45183
2018-03-20,224.0,0.2838427947598253,train,0.24255142,195.63283,28.367172241210938,12.663916179112025,0.23477092,190.28763
2018-03-21,302.0,0.3973799126637555,train,0.29744002,233.3413,68.65870666503906,22.734671081138764,0.2950175,231.67703
2018-03-22,226.0,0.2867540029112082,train,0.38334292,292.3566,-66.35659790039062,-29.361326504597624,0.38802588,295.5738
2018-03-23,171.0,0.20669577874818051,train,0.27647457,218.93802,-47.938018798828125,-28.03392912212171,0.2723491,216.10382
2018-03-24,183.0,0.22416302765647744,train,0.23530865,190.65704,-7.65704345703125,-4.184176752476093,0.22517103,183.69249
2018-03-25,202.0,0.25181950509461426,train,0.2501042,200.82158,1.1784210205078125,0.5833767428256498,0.24134226,194.80214
2018-03-26,203.0,0.2532751091703057,train,0.26296657,209.65804,-6.6580352783203125,-3.279820334147937,0.2577265,206.05809
2018-03-27,246.0,0.3158660844250364,train,0.26545858,211.37004,34.62995910644531,14.07721914896151,0.2605065,207.96797
2018-03-28,293.0,0.38427947598253276,train,0.3160639,246.13591,46.86408996582031,15.994569954204884,0.3148442,245.29796
2018-03-29,238.0,0.3042212518195051,train,0.35594946,273.5373,-35.53729248046875,-14.931635495995273,0.36068603,276.7913
2018-03-30,234.0,0.29839883551673946,train,0.2900269,228.24847,5.75152587890625,2.457917042267628,0.28560635,225.21156
2018-03-31,269.0,0.3493449781659389,train,0.31012863,242.05836,26.941635131835938,10.015477744176929,0.3036536,237.61002
2018-04-01,217.0,0.27365356622998543,train,0.3428882,264.5642,-47.564208984375,-21.918990315380185,0.34057277,262.97348
2018-04-02,217.0,0.27365356622998543,train,0.26878944,213.65834,3.3416595458984375,1.539935274607575,0.26230225,209.20164
2018-04-03,239.0,0.3056768558951965,train,0.29063854,228.66867,10.331329345703125,4.322731943808839,0.28438196,224.3704
2018-04-04,244.0,0.3129548762736536,train,0.3101025,242.0404,1.9595947265625,0.8031125928534836,0.30632585,239.44586
2018-04-05,329.0,0.4366812227074236,train,0.30633712,239.4536,89.54640197753906,27.217751360954125,0.30510607,238.60786
2018-04-06,271.0,0.3522561863173217,train,0.42304772,319.6338,-48.6337890625,-17.946047624538743,0.42837527,323.29382
2018-04-07,170.0,0.2052401746724891,train,0.33439228,258.7275,-88.72750854492188,-52.192652085248156,0.32990244,255.64297
2018-04-08,142.0,0.16448326055312956,train,0.22769678,185.42769,-43.42768859863281,-30.58287929481184,0.21645622,177.70543
2018-04-09,133.0,0.15138282387190685,train,0.20999238,173.26477,-40.2647705078125,-30.274263539708645,0.19665694,164.10332
2018-04-10,205.0,0.2561863173216885,train,0.19259058,161.30972,43.690277099609375,21.31233029249238,0.1809712,153.32721
2018-04-11,179.0,0.2183406113537118,train,0.27737793,219.55864,-40.55863952636719,-22.65845783595932,0.27640116,218.8876
2018-04-12,135.0,0.15429403202328967,train,0.2331582,189.17969,-54.1796875,-40.133101851851855,0.22700265,184.95082
2018-04-13,201.0,0.25036390101892286,train,0.18340942,155.00227,45.99772644042969,22.88444101513915,0.175356,149.46957
2018-04-14,233.0,0.29694323144104806,train,0.26292253,209.62778,23.372222900390625,10.030996952957349,0.2613691,208.56058
2018-04-15,240.0,0.30713245997088795,train,0.28893554,227.49872,12.50128173828125,5.2088673909505205,0.2879928,226.85106
2018-04-16,296.0,0.388646288209607,train,0.29913944,234.50879,61.4912109375,20.774057749155407,0.2980606,233.76762
2018-04-17,266.0,0.34497816593886466,train,0.37097454,283.8595,-17.8594970703125,-6.714096642974623,0.3730346,285.27478
2018-04-18,216.0,0.27219796215429404,train,0.3122104,243.48856,-27.488555908203125,-12.726183290834781,0.31052446,242.3303
2018-04-19,242.0,0.31004366812227074,train,0.267703,212.91196,29.088043212890625,12.019852567310176,0.26067212,208.08174
2018-04-20,271.0,0.3522561863173217,train,0.3192641,248.33444,22.665557861328125,8.363674487574954,0.31320643,244.17282
2018-04-21,444.0,0.6040756914119361,train,0.339463,262.2111,181.78890991210938,40.94344817840302,0.33785707,261.10782
2018-04-22,302.0,0.3973799126637555,train,0.5594057,413.31174,-111.31173706054688,-36.858191079651284,0.57260275,422.3781
2018-04-23,197.0,0.24454148471615722,train,0.3511585,270.24588,-73.24588012695312,-37.180649810636105,0.34490117,265.9471
2018-04-24,242.0,0.31004366812227074,train,0.27201357,215.87332,26.126678466796875,10.796148126775568,0.26026323,207.80084
2018-04-25,287.0,0.37554585152838427,train,0.33468246,258.92685,28.073150634765625,9.78158558702635,0.33000377,255.71259
2018-04-26,329.0,0.4366812227074236,train,0.37048924,283.5261,45.473907470703125,13.8218563740739,0.3693781,282.76276
2018-04-27,351.0,0.4687045123726346,train,0.42445812,320.60272,30.39727783203125,8.660193114538819,0.42597175,321.64258
2018-04-28,288.0,0.3770014556040757,train,0.44720727,336.23138,-48.23138427734375,-16.747008429633247,0.4468339,335.97488
2018-04-29,259.0,0.33478893740902477,train,0.35219204,270.95593,-11.9559326171875,-4.616190199686294,0.35033268,269.67856
2018-04-30,221.0,0.2794759825327511,train,0.34394747,265.2919,-44.291900634765625,-20.041583997631506,0.33942336,262.18384
2018-05-01,173.0,0.2096069868995633,train,0.3129774,244.01547,-71.01547241210938,-41.04940601856033,0.3033068,237.37177
2018-05-02,161.0,0.19213973799126638,train,0.24881098,199.93314,-38.933135986328125,-24.182072041197593,0.23805699,192.54515
2018-05-03,167.0,0.20087336244541484,train,0.23490602,190.38043,-23.38043212890625,-14.000258759824103,0.226488,184.59724
2018-05-04,146.0,0.1703056768558952,train,0.23676594,191.6582,-45.658203125,-31.27274186643836,0.23061715,187.43399
2018-05-05,174.0,0.21106259097525476,train,0.20616359,170.63438,3.3656158447265625,1.9342619797279095,0.19981334,166.27176
2018-05-06,280.0,0.36535662299854443,train,0.24318759,196.06989,83.93011474609375,29.97504098074777,0.23828539,192.70206
2018-05-07,243.0,0.31149927219796214,train,0.3603328,276.5486,-33.548614501953125,-13.806014198334617,0.36680076,280.99213
2018-05-08,252.0,0.3245997088791849,train,0.28974956,228.05795,23.942047119140625,9.500812348865328,0.28841493,227.14105
2018-05-09,168.0,0.20232896652110627,train,0.3216979,250.00645,-82.00645446777344,-48.81336575462705,0.31923077,248.31154
2018-05-10,218.0,0.2751091703056769,train,0.20825852,172.07361,45.9263916015625,21.067152110808486,0.19486777,162.87416
2018-05-11,292.0,0.38282387190684136,train,0.2837813,223.95775,68.04225158691406,23.302140954422622,0.28008518,221.41852
2018-05-12,330.0,0.438136826783115,train,0.36622033,280.59335,49.406646728515625,14.971711129853219,0.3688597,282.40662
2018-05-13,285.0,0.3726346433770015,train,0.40522647,307.3906,-22.390594482421875,-7.856348941200658,0.4081447,309.39542
2018-05-14,174.0,0.21106259097525476,train,0.3450392,266.04193,-92.04193115234375,-52.89766158180675,0.34306008,264.68228
2018-05-15,173.0,0.2096069868995633,train,0.22789264,185.56224,-12.562240600585938,-7.261410751783778,0.21487336,176.61801
2018-05-16,194.0,0.24017467248908297,train,0.24469012,197.10211,-3.10211181640625,-1.5990267094877577,0.23518208,190.57008
2018-05-17,240.0,0.30713245997088795,train,0.26402622,210.38602,29.613983154296875,12.339159647623697,0.25652552,205.23303
2018-05-18,254.0,0.32751091703056767,train,0.3171717,246.89696,7.1030426025390625,2.79647346556656,0.3156351,245.84131
2018-05-19,270.0,0.3508005822416303,train,0.32028076,249.03288,20.967117309570312,7.76559900354456,0.3198912,248.76526
2018-05-20,231.0,0.2940320232896652,train,0.33706555,260.56403,-29.56402587890625,-12.798279601258116,0.3380728,261.256
2018-05-21,208.0,0.26055312954876275,train,0.28996575,228.20647,-20.206466674804688,-9.714647439809946,0.2856324,225.22946
2018-05-22,207.0,0.25909752547307136,train,0.2785543,220.36679,-13.366790771484375,-6.457386846127718,0.26976863,214.33104
2018-05-23,306.0,0.40320232896652114,train,0.27534604,218.16273,87.83726501464844,28.704988566878576,0.26763752,212.86697
2018-05-24,303.0,0.3988355167394469,train,0.39190555,298.2391,4.760894775390625,1.5712524011190183,0.39559942,300.7768
2018-05-25,260.0,0.33624454148471616,train,0.3663132,280.65717,-20.65716552734375,-7.945063664362981,0.3672017,281.26755
2018-05-26,244.0,0.3129548762736536,train,0.3275745,254.04367,-10.043670654296875,-4.116258464875768,0.32317156,251.01886
2018-05-27,268.0,0.34788937409024745,train,0.31744176,247.08249,20.917510986328125,7.805041412809002,0.3122258,243.49911
2018-05-28,276.0,0.35953420669577874,train,0.34580192,266.56592,9.43408203125,3.418145663496377,0.34326997,264.82648
2018-05-29,303.0,0.3988355167394469,train,0.35503405,272.9084,30.09161376953125,9.931225666511963,0.35265794,271.276
2018-05-30,272.0,0.3537117903930131,train,0.39246103,298.62073,-26.6207275390625,-9.78703218347886,0.39076924,297.45847
2018-05-31,223.0,0.2823871906841339,train,0.34128594,263.46344,-40.46343994140625,-18.14504033246917,0.33785537,261.10663
2018-06-01,196.0,0.24308588064046582,train,0.29141504,229.20213,-33.20213317871094,-16.939863866689254,0.28490037,224.72655
2018-06-02,183.0,0.22416302765647744,train,0.2733922,216.82043,-33.8204345703125,-18.48111178705601,0.26488608,210.97673
2018-06-03,154.0,0.1819505094614265,train,0.2567226,205.36842,-51.36842346191406,-33.356119131113026,0.24818937,199.5061
2018-06-04,170.0,0.2052401746724891,train,0.2186321,179.20026,-9.20025634765625,-5.411915498621324,0.20984863,173.16602
2018-06-05,160.0,0.19068413391557498,train,0.23911013,193.26866,-33.26866149902344,-20.79291343688965,0.23276356,188.90857
2018-06-06,146.0,0.1703056768558952,train,0.2156896,177.17876,-31.178756713867188,-21.35531281771725,0.20928863,172.78128
2018-06-07,166.0,0.19941775836972345,train,0.19945198,166.02351,-0.0235137939453125,-0.014164936111634038,0.19168705,160.689
2018-06-08,180.0,0.2197962154294032,train,0.22358833,182.6052,-2.605194091796875,-1.4473300509982638,0.21665996,177.8454
2018-06-09,153.0,0.1804949053857351,train,0.22955646,186.70529,-33.705291748046875,-22.029602449703837,0.22410889,182.96281
2018-06-10,153.0,0.1804949053857351,train,0.19243255,161.20116,-8.201156616210938,-5.360233082490809,0.18433198,155.63608
2018-06-11,186.0,0.2285298398835517,train,0.19793756,164.98311,21.016891479492188,11.299404021232359,0.18871692,158.64851
2018-06-12,285.0,0.3726346433770015,train,0.23146479,188.01631,96.98368835449219,34.02936433490954,0.22750331,185.29478
2018-06-13,453.0,0.6171761280931587,train,0.3508465,270.03156,182.96844482421875,40.39038517090921,0.3594506,275.94257
2018-06-14,522.0,0.7176128093158661,train,0.5596574,413.48465,108.51535034179688,20.78838129153197,0.5807221,427.9561
2018-06-15,593.0,0.8209606986899565,train,0.61960304,454.6673,138.33270263671875,23.327605840930648,0.6337259,464.3697
2018-06-16,531.0,0.7307132459970889,train,0.72144395,524.632,6.36798095703125,1.1992431180849812,0.73201907,531.8971
2018-06-17,384.0,0.5167394468704513,train,0.6422144,470.20132,-86.20132446289062,-22.44826157887777,0.64131945,469.5865
2018-06-18,179.0,0.2183406113537118,train,0.48448318,361.83997,-182.8399658203125,-102.14523230185056,0.47019956,352.0271
2018-06-19,146.0,0.1703056768558952,train,0.27131912,215.39624,-69.396240234375,-47.531671393407535,0.24813038,199.46558
2018-06-20,175.0,0.21251819505094616,train,0.26260504,209.40967,-34.40966796875,-19.662667410714285,0.24636298,198.25137
2018-06-21,221.0,0.2794759825327511,train,0.27782878,219.86838,1.131622314453125,0.5120462961326357,0.27166945,215.6369
2018-06-22,249.0,0.32023289665211063,train,0.32150248,249.87221,-0.8722076416015625,-0.35028419341428213,0.32170358,250.01036
2018-06-23,228.0,0.28966521106259097,train,0.34377617,265.17422,-37.174224853515625,-16.304484584875272,0.34884214,268.65454
2018-06-24,194.0,0.24017467248908297,train,0.3087476,241.10959,-47.109588623046875,-24.283293104663336,0.31007233,242.01968
2018-06-25,168.0,0.20232896652110627,train,0.2711342,215.2692,-47.269195556640625,-28.1364259265718,0.26587445,211.65575
2018-06-26,128.0,0.14410480349344978,train,0.24307054,195.98946,-67.98945617675781,-53.11676263809204,0.23064154,187.45074
2018-06-27,126.0,0.14119359534206696,train,0.1856435,156.53708,-30.537078857421875,-24.23577687096974,0.17043257,146.08717
2018-06-28,99.0,0.10189228529839883,train,0.17627597,150.1016,-51.101593017578125,-51.617770724826386,0.16509584,142.42084
2018-06-29,90.0,0.08879184861717612,train,0.13728848,123.317184,-33.31718444824219,-37.019093831380204,0.12526345,115.05599
2018-06-30,113.0,0.12227074235807861,train,0.12914301,117.72125,-4.72125244140625,-4.178099505669248,0.11779916,109.928024
2018-07-01,102.0,0.10625909752547308,train,0.15322825,134.2678,-32.26780700683594,-31.635104908662683,0.1435982,127.65196
2018-07-02,111.0,0.11935953420669579,train,0.13190605,119.61945,-8.619453430175781,-7.765273360518722,0.11996919,111.41883
2018-07-03,122.0,0.13537117903930132,train,0.14198843,126.54605,-4.546051025390625,-3.7262713322873973,0.13150868,119.34646
2018-07-04,128.0,0.14410480349344978,train,0.14774778,130.50273,-2.5027313232421875,-1.955258846282959,0.13717379,123.23839
2018-07-05,130.0,0.1470160116448326,train,0.14945127,131.67302,-1.6730194091796875,-1.2869380070612981,0.14175726,126.38724
2018-07-06,147.0,0.1717612809315866,train,0.1513364,132.96811,14.031890869140625,9.54550399261267,0.14331701,127.458786
2018-07-07,155.0,0.18340611353711792,train,0.17336631,148.10265,6.8973541259765625,4.449905887726815,0.16679737,143.5898
2018-07-08,176.0,0.21397379912663755,train,0.17825311,151.45988,24.540115356445312,13.943247361616654,0.17412856,148.62633
2018-07-09,168.0,0.20232896652110627,train,0.20773134,171.71143,-3.71142578125,-2.2091820126488098,0.20545258,170.14592
2018-07-10,140.0,0.16157205240174674,train,0.19678184,164.18913,-24.189132690429688,-17.27795192173549,0.19145383,160.52878
2018-07-11,111.0,0.11935953420669579,train,0.16598119,143.02907,-32.02906799316406,-28.855016210057716,0.15694991,136.82458
2018-07-12,130.0,0.1470160116448326,train,0.13610701,122.505516,7.494483947753906,5.76498765211839,0.12326461,113.682785
